PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Ang Mo Kio,Ang Mo Kio Town Centre,950,4830,0.19668737060041408,710.0,830,0.02954782547316981,12.0,2.25140712945591,5.5862058339969,5.719120293529311,0.611818275856152,0,Well-Served,#1A7A3C
Ang Mo Kio,Cheng San,6970,26560,0.2624246987951807,4640.0,6050,0.04152927086743485,2.0,0.07390983000739099,4.995972054516549,4.902499439498095,129.28741306191057,0,Well-Served,#1A7A3C
Ang Mo Kio,Chong Boon,7390,24860,0.29726468222043445,5080.0,6450,0.038192943301735394,9.0,0.3548895899053628,4.832458664581657,5.2908580163127725,29.045380119490854,0,Well-Served,#1A7A3C
Ang Mo Kio,Kebun Bahru,5840,21680,0.2693726937269373,4280.0,5120,0.03156573463358492,2.0,0.09017132551848513,5.744685317997857,6.515063990203258,94.47363146410407,0,Well-Served,#1A7A3C
Ang Mo Kio,Sembawang Hills,1470,6950,0.21151079136690648,1090.0,1410,0.030360221235104845,0.0,0.0,5.798641492677627,7.531028745896057,1470.0,1,High Pressure,#C0392B
Ang Mo Kio,Shangri-La,4510,17680,0.25509049773755654,3140.0,3620,0.036870907873955305,9.0,0.49504950495049505,5.292414854611638,6.80209719284225,13.340424282266206,0,Well-Served,#1A7A3C
Ang Mo Kio,Tagore,2030,8090,0.25092707045735474,1120.0,1570,0.061274676611179135,0.0,0.0,4.757163064438387,7.14570754149416,2029.9999999999998,1,High Pressure,#C0392B
Ang Mo Kio,Townsville,5680,19870,0.2858580775037745,4360.0,5090,0.026800767556249605,9.0,0.4418262150220913,4.899885406798537,6.013770466537812,18.26572884059324,0,Well-Served,#1A7A3C
Ang Mo Kio,Yio Chu Kang,130,330,0.3939393939393939,0.0,0,0.0,2.0,2.4096385542168672,4.556353176930607,5.351926054831573,0.07485972265334347,0,Well-Served,#1A7A3C
Ang Mo Kio,Yio Chu Kang East,1000,4500,0.2222222222222222,530.0,740,0.06554651508435816,1.0,0.2,4.681286382832768,4.637788232440575,6.819169482256145,0,Well-Served,#1A7A3C
