name,category,lat,lon,brand,address,website,phone
Dover Medical Centre,clinic,1.2961959,103.7869593,,Ayer Rajah Crescent,,+65 67756266
Clementi Polyclinic,clinic,1.3126992,103.7656185,,Clementi Avenue 3,https://www.nup.com.sg/Pages/Our%20Clinics/our-clinics-clemp.aspx,+65 6355 3000
My Family Clinic,clinic,1.3098536,103.7685997,,,,
Casa Dental,clinic,1.3098704,103.7686377,,,,
Bukit Merah Polyclinic,clinic,1.2836914,103.8170178,,Bukit Merah Central,https://polyclinic.singhealth.com.sg/AboutSingHealthPolyclinics/OurPolyclinics/BukitMerah/Pages/Home.aspx,+65 6643 6969
Prohealth,clinic,1.3771215,103.772944,,Bukit Panjang Ring Road,,
BOEY @ Holland V Family Clinic,clinic,1.3110846,103.7952681,,Lorong Mambong,,
,clinic,1.3935916,103.909454,,,,
Inmed,clinic,1.29925,103.8534007,,,,
KiroLounge - The Spine Place,clinic,1.301773,103.8577221,,Victoria Street,https://thekirolounge.com/,+6563363738
Trans Island Medical Group,clinic,1.3208122,103.8621964,,Towner Road,,+6562991898
Geylang Polyclinic,clinic,1.3195749,103.88731,,Geylang East Central,https://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-Geylang.aspx,+65 6643 6969
Woodlands Polyclinic,clinic,1.4307876,103.7752254,,Woodlands Street 31,https://www.nhgp.com.sg/Our_Clinics/Woodlands_Polyclinic/,+65 6355 3000
Jurong Polyclinic,clinic,1.3496231,103.7307295,,Jurong East Avenue 1,https://www.nhgp.com.sg/Our_Clinics/Jurong_Polyclinic/,+65 6355 3000
Bukit Batok Polyclinic,clinic,1.3520458,103.747842,,Bukit Batok West Avenue 3,https://www.nhgp.com.sg/Our_Clinics/Bukit_Batok_Polyclinic/,+65 6355 3000
Tampines Polyclinic,clinic,1.3572803,103.9458598,,Tampines Street 41,https://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-Tampines.aspx,+65 6643 6969
